Id,OpportunityId,CreatedById,CreatedDate,Field,OldValue,NewValue
0172e00000nus9PAAQ,0062e000002HFvGAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9rAAA,0062e000002HGKzAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9RAAQ,0062e000002HFvIAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9tAAA,0062e000002HGL0AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9TAAQ,0062e000002HFvJAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9vAAA,0062e000002HGL1AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9VAAQ,0062e000002HFvKAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9xAAA,0062e000002HGL2AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9XAAQ,0062e000002HFvNAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9zAAA,0062e000002HGL3AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nus9ZAAQ,0062e000002HFvOAAW,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusA1AAI,0062e000002HGL4AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusA3AAI,0062e000002HGL5AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusA5AAI,0062e000002HGL6AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusA7AAI,0062e000002HGL7AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusA9AAI,0062e000002HGL8AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAbAAI,0062e000002HGLGAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusABAAY,0062e000002HGL9AAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAdAAI,0062e000002HGLgAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusADAAY,0062e000002HGLAAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAfAAI,0062e000002HGLHAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAFAAY,0062e000002HGLaAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAhAAI,0062e000002HGLhAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAHAAY,0062e000002HGLBAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAjAAI,0062e000002HGLIAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAJAAY,0062e000002HGLbAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAlAAI,0062e000002HGLiAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusALAAY,0062e000002HGLCAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAnAAI,0062e000002HGLJAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusANAAY,0062e000002HGLcAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusApAAI,0062e000002HGLjAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAPAAY,0062e000002HGLDAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusArAAI,0062e000002HGLKAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusARAAY,0062e000002HGLdAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAtAAI,0062e000002HGLkAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusATAAY,0062e000002HGLEAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAvAAI,0062e000002HGLLAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAVAAY,0062e000002HGLeAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAxAAI,0062e000002HGLlAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAXAAY,0062e000002HGLFAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAzAAI,0062e000002HGLMAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusAZAAY,0062e000002HGLfAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusB1AAI,0062e000002HGLmAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusB3AAI,0062e000002HGLNAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusB5AAI,0062e000002HGLnAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusB7AAI,0062e000002HGLOAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusB9AAI,0062e000002HGLoAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBbAAI,0062e000002HGLWAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBBAAY,0062e000002HGLPAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBdAAI,0062e000002HGLwAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBDAAY,0062e000002HGLpAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBfAAI,0062e000002HGLXAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBFAAY,0062e000002HGLQAA4,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBhAAI,0062e000002HGLxAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
0172e00000nusBHAAY,0062e000002HGLqAAO,0052e000000Ifz4AAC,2/04/2020 9:36,StageName,Identifying,Closed Lost
