Id,WhatId,ActivityDate,Status,OwnerId,Type,TaskSubtype
00T2e0000066NMvEAM,0062e000002HGDfAAO,11/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NMlEAM,0062e000002HGDfAAO,11/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NMbEAM,0062e000002HGDfAAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NMWEA2,0062e000002HGDfAAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NMREA2,0062e000002HGDfAAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NMMEA2,0062e000002HGDfAAO,4/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NESEA2,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066NEEEA2,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066N5QEAU,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e0000066N5BEAU,0062e000002HGDfAAO,22/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000003u55zEAA,0062e000002HGDfAAO,19/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u3YXEAY,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tyHREAY,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003txH4EAI,0062e000002HGDfAAO,19/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tuwJEAQ,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tuKoEAI,0062e000002HGDfAAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tq8mEAA,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003toYvEAI,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tlneEAA,0062e000002HGDfAAO,9/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tktdEAA,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tkSBEAY,0062e000002HGDfAAO,2/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tiQYEAY,0062e000002HGDfAAO,19/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000005yIjzEAE,0062e000002HGDpAAO,8/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000005yIMTEA2,0062e000002HGDpAAO,8/6/20,Completed,0052e000000VJDbAAO,,Email
00T2e000003u2gTEAQ,0062e000002HGDpAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1uoEAA,0062e000002HGDpAAO,27/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003u1HWEAY,0062e000002HGDpAAO,8/8/19,Completed,0052e000000Ifz4AAC,,Email
00T2e000003tzq2EAA,0062e000002HGDpAAO,26/8/19,Completed,0052e000000Ifz4AAC,,Email
